epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,254.882,1.15856,0.66336,0.99926,0.87587,0.000331096,0.000331096,0.000331096
2,512.651,0.84295,0.66887,0.99853,0.84025,0.000532872,0.000532872,0.000532872
3,769.175,0.79223,0.7104,0.9989,0.79283,0.000602649,0.000602649,0.000602649
4,1027.61,0.74613,0.73025,0.9989,0.78538,0.000406,0.000406,0.000406
5,1295.51,0.66929,0.75083,0.99926,0.68043,0.000208,0.000208,0.000208
